"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","SO2","PM10","PM25","NO2"
"01/01/2017","38","Ozone","San Luis Obispo","06-079-2006","AQS","38","0","22","33","9"
"01/02/2017","40","PM2.5","Atascadero","06-079-8002","AQS","35","0","21","40","15"
"01/03/2017","34","Ozone","Red Hills","06-079-8005","AQS","34","0","20","25","13"
"01/04/2017","33","Ozone","Red Hills","06-079-8005","AQS","33","0","5","7","4"
"01/05/2017","36","Ozone","San Luis Obispo","06-079-2006","AQS","36","0","7","15","8"
"01/06/2017","33","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","31","0","18","33","18"
"01/07/2017","33","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","33","0","8","13","4"
"01/08/2017","35","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","35","0","8","14","3"
"01/09/2017","36","Ozone","Red Hills","06-079-8005","AQS","36","0","19","15","9"
"01/10/2017","38","Ozone","Atascadero","06-079-8002","AQS","38","0","11","13","14"
"01/11/2017","37","Ozone","Atascadero","06-079-8002","AQS","37","0","29","31","9"
"01/12/2017","38","Ozone","San Luis Obispo","06-079-2006","AQS","38","0","15","23","14"
"01/13/2017","34","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","34","0","14","24","6"
"01/14/2017","46","PM2.5","Atascadero","06-079-8002","AQS","34","0","21","46","10"
"01/15/2017","51","PM2.5","Atascadero","06-079-8002","AQS","34","0","15","51","8"
"01/16/2017","55","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","35","0","17","55","16"
"01/17/2017","52","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","42","0","18","52","29"
"01/18/2017","39","Ozone","Red Hills","06-079-8005","AQS","39","0","14","35","12"
"01/19/2017","40","Ozone","Carrizo Plains","06-079-8006","AQS","40","0","19","31","22"
"01/20/2017","42","Ozone","Carrizo Plains","06-079-8006","AQS","42","0","17","24","7"
"01/21/2017","46","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","40","0","31","46","20"
"01/22/2017","41","Ozone","Atascadero","06-079-8002","AQS","41","0","10","20","3"
"01/23/2017","40","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","40","0","15","22","18"
"01/24/2017","37","Ozone","Carrizo Plains","06-079-8006","AQS","37","0","13","33","13"
"01/25/2017","49","PM10","Arroyo Grande CDF","06-079-2007","AQS","38","0","49","46","20"
"01/26/2017","38","PM2.5","Atascadero","06-079-8002","AQS","37","0","14","38","10"
"01/27/2017","51","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","37","0","23","51","12"
"01/28/2017","63","PM2.5","Atascadero","06-079-8002","AQS","38","0","26","63","16"
"01/29/2017","54","PM2.5","Atascadero","06-079-8002","AQS","39","0","44","54","9"
"01/30/2017","42","Ozone","Red Hills","06-079-8005","AQS","42","0","20","38","25"
"01/31/2017","44","Ozone","Red Hills","06-079-8005","AQS","44","0","24","41","24"
"02/01/2017","47","Ozone","Carrizo Plains","06-079-8006","AQS","47","0","15","32","13"
"02/02/2017","36","Ozone","Red Hills","06-079-8005","AQS","36","0","8","18","5"
