"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM25","NO2"
"01/01/2017","45","PM2.5","Oakland West","06-001-0011","AQS","7","37","0","45","24"
"01/02/2017","36","Ozone","Patterson Pass","06-001-2005","AQS","7","36","0","32","23"
"01/03/2017","35","Ozone","Patterson Pass","06-001-2005","AQS","8","35","0","27","23"
"01/04/2017","40","NO2","Laney College","06-001-0012","AQS","8","31","0","24","40"
"01/05/2017","36","PM2.5","Oakland West","06-001-0011","AQS","10","32","1","36","29"
"01/06/2017","39","PM2.5","Oakland West","06-001-0011","AQS","10","32","1","39","37"
"01/07/2017","30","Ozone","Patterson Pass","06-001-2005","AQS","9","30","0","29","19"
"01/08/2017","33","Ozone","Patterson Pass","06-001-2005","AQS","8","33","0","13","15"
"01/09/2017","39","Ozone","Patterson Pass","06-001-2005","AQS","8","39","0","20","34"
"01/10/2017","40","Ozone","Patterson Pass","06-001-2005","AQS","8","40","0","20","26"
"01/11/2017","39","Ozone","Patterson Pass","06-001-2005","AQS","8","39","3","30","32"
"01/12/2017","32","Ozone","Patterson Pass","06-001-2005","AQS","6","32","0","28","31"
"01/13/2017","39","PM2.5","Laney College","06-001-0012","AQS","10","33",".","39","30"
"01/14/2017","56","PM2.5","Oakland West","06-001-0011","AQS","13","34","3","56","26"
"01/15/2017","68","PM2.5","Oakland West","06-001-0011","AQS","17","32","3","68","25"
"01/16/2017","75","PM2.5","Oakland West","06-001-0011","AQS","14","28","3","75","34"
"01/17/2017","85","PM2.5","Oakland West","06-001-0011","AQS","13","31","1","85","29"
"01/18/2017","53","PM2.5","Oakland West","06-001-0011","AQS","9","44","1","53","35"
"01/19/2017","42","Ozone","Patterson Pass","06-001-2005","AQS","7","42","0","41","42"
"01/20/2017","40","Ozone","Patterson Pass","06-001-2005","AQS","7","40","1","29","34"
"01/21/2017","44","PM2.5","Oakland West","06-001-0011","AQS","7","38","0","44","23"
"01/22/2017","40","Ozone","Patterson Pass","06-001-2005","AQS","7","40","0","30","26"
"01/23/2017","38","Ozone","Patterson Pass","06-001-2005","AQS","7","38","0","34","32"
"01/24/2017","47","PM2.5","Oakland West","06-001-0011","AQS","10","37","1","47","34"
"01/25/2017","53","PM2.5","Oakland West","06-001-0011","AQS","14","31","1","53","35"
"01/26/2017","56","PM2.5","Oakland West","06-001-0011","AQS","13","31","3","56","33"
"01/27/2017","45","PM2.5","Oakland West","06-001-0011","AQS","13","36","3","45","36"
"01/28/2017","58","PM2.5","Oakland West","06-001-0011","AQS","11","34","1","58","33"
"01/29/2017","65","PM2.5","Oakland West","06-001-0011","AQS","15","38","1","65","39"
"01/30/2017","69","PM2.5","Oakland West","06-001-0011","AQS","20","37","4","69","48"
"01/31/2017","85","PM2.5","Oakland West","06-001-0011","AQS","15","35",".","85","42"
"02/01/2017","87","PM2.5","Oakland West","06-001-0011","AQS","15","34","1","87","36"
"02/02/2017","37","Ozone","Patterson Pass","06-001-2005","AQS","9","37","0","28","26"
"02/03/2017","37","Ozone","Patterson Pass","06-001-2005","AQS","8","37",".","23","25"
"02/04/2017","36","Ozone","Patterson Pass","06-001-2005","AQS","9","36",".","22","25"
"02/05/2017","36","Ozone","Patterson Pass","06-001-2005","AQS","9","36",".","20","23"
"02/06/2017","40","Ozone","Patterson Pass","06-001-2005","AQS","9","40",".","19","39"
"02/07/2017","29","Ozone","Patterson Pass","06-001-2005","AQS","9","29","0","22","28"
