"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2017","45","PM2.5","Red Bluff-Walnut St. District Office","06-103-0007","AQS","25","9","45"
"01/02/2017","31","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","31",".","21"
"01/03/2017","30","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","30",".","20"
"01/04/2017","27","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","27",".","20"
"01/05/2017","32","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","32",".","11"
"01/06/2017","31","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","31",".","20"
"01/07/2017","27","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","27","2","13"
"01/08/2017","27","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","27",".","1"
"01/09/2017","32","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","32",".","1"
"01/10/2017","32","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","32",".","0"
"01/11/2017","32","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","32",".","4"
"01/12/2017","23","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","23",".","5"
"01/13/2017","33","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","33","3","6"
"01/14/2017","31","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","31",".","12"
"01/15/2017","38","PM2.5","Red Bluff-Walnut St. District Office","06-103-0007","AQS","21",".","38"
"01/16/2017","50","PM2.5","Red Bluff-Walnut St. District Office","06-103-0007","AQS","22",".","50"
"01/17/2017","66","PM2.5","Red Bluff-Walnut St. District Office","06-103-0007","AQS","16",".","66"
"01/18/2017","53","PM2.5","Red Bluff-Walnut St. District Office","06-103-0007","AQS","38",".","53"
"01/19/2017","33","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","33",".","4"
"01/20/2017","35","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","35",".","0"
"01/21/2017","35","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","35",".","9"
"01/22/2017","35","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","35",".","11"
"01/23/2017","31","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","31",".","12"
"01/24/2017","29","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","29",".","12"
"01/25/2017","24","PM2.5","Red Bluff-Walnut St. District Office","06-103-0007","AQS","18","10","24"
"01/26/2017","31","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","31",".","14"
"01/27/2017","32","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","32",".","11"
"01/28/2017","28","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","28",".","27"
"01/29/2017","26","PM2.5","Red Bluff-Walnut St. District Office","06-103-0007","AQS","22",".","26"
"01/30/2017","31","PM2.5","Red Bluff-Walnut St. District Office","06-103-0007","AQS","24",".","31"
"01/31/2017","28","PM2.5","Red Bluff-Walnut St. District Office","06-103-0007","AQS","13","17","28"
"02/01/2017","42","PM2.5","Red Bluff-Walnut St. District Office","06-103-0007","AQS","15",".","42"
"02/02/2017","45","PM2.5","Red Bluff-Walnut St. District Office","06-103-0007","AQS","24",".","45"
"02/03/2017","33","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","33",".","12"
"02/04/2017","32","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","32",".","8"
"02/05/2017","31","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","31",".","13"
"02/06/2017","37","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","37","4","5"
"02/07/2017","35","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","35",".","18"
"02/08/2017","19","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","19",".","13"
"02/09/2017","7","PM2.5","Red Bluff-Walnut St. District Office","06-103-0007","AQS",".",".","7"
"02/10/2017","32","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","32",".","13"
"02/11/2017","34","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","34",".","0"
"02/12/2017","33","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","33","5","5"
"02/13/2017","24","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","24",".","23"
"02/14/2017","31","PM2.5","Red Bluff-Walnut St. District Office","06-103-0007","AQS","28",".","31"
"02/15/2017","51","PM2.5","Red Bluff-Walnut St. District Office","06-103-0007","AQS","26",".","51"
"02/16/2017","39","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","39",".","27"
"02/17/2017","30","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","30",".","7"
"02/18/2017","31","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","31","3","0"
"02/19/2017","35","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","35",".","10"
"02/20/2017","40","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","40",".","15"
"02/21/2017","39","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","39",".","."
"02/22/2017","31","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","31",".","."
"02/23/2017","32","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","32",".","6"
"02/24/2017","31","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","31","5","9"
"02/25/2017","35","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","35",".","5"
"02/26/2017","31","Ozone","Red Bluff-Walnut St. District Office","06-103-0007","AQS","31",".","11"
