"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25"
"01/27/2017","42","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","42","0","25","19"
"01/28/2017","41","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","41","0","6","14"
"01/29/2017","40","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","40","0","5","13"
"01/30/2017","40","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","40","0","11","16"
"01/31/2017","37","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","37","0","8","21"
"02/01/2017","38","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","38","0","10","22"
"02/02/2017","45","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","45",".","13","17"
"02/03/2017","43","PM10","Dirty Socks","06-027-0022","AQS","2","40","0","43","13"
"02/04/2017","39","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","39","0","5","10"
"02/05/2017","37","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","37","0","14","15"
"02/06/2017","94","PM10","Shell Cut","06-027-0025","AQS","1","41","0","94","8"
"02/07/2017","37","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","37",".","29","18"
"02/08/2017","29","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","29","0","5","12"
"02/09/2017","86","PM10","Lizard Tail","06-027-0028","AQS","1","32","0","86","13"
"02/10/2017","92","PM10","Dirty Socks","06-027-0022","AQS","1","39","0","92","12"
"02/11/2017","68","PM10","Keeler","06-027-1003","AQS","1","40","0","68","59"
"02/12/2017","53","PM10","Olancha","06-027-0021","AQS","1","40","0","53","45"
"02/13/2017","40","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","40","0","8","12"
"02/14/2017","42","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","42","0","18","13"
"02/15/2017","41","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","41","0","13","13"
"02/16/2017","45","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","45","0","28","14"
"02/17/2017","43","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","43","0","5","10"
"02/18/2017","38","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","38","0","4","8"
"02/19/2017","38","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","2","38","0","5","15"
"02/20/2017","37","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","37","0","11","14"
"02/21/2017","59","PM10","Dirty Socks","06-027-0022","AQS","1","44","0","59","11"
"02/22/2017","46","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","46","0","42","44"
"02/23/2017","44","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","44","0","6","13"
"02/24/2017","42","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","42","0","6","13"
"02/25/2017","44","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","44","0","6","12"
"02/26/2017","47","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","47","0","15","13"
"02/27/2017","47","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","47","0","25","12"
"02/28/2017","47","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","47","0","8","10"
"03/01/2017","45","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","45","0","6","13"
"03/02/2017","43","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","43","0","7","11"
"03/03/2017","42","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","42","0","12","14"
"03/04/2017","125","PM10","Lizard Tail","06-027-0028","AQS","2","61","0","125","23"
"03/05/2017","664","PM10","Dirty Socks","06-027-0022","AQS","2","54","0","664","63"
"03/06/2017","44","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","44","0","10","6"
"03/07/2017","41","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","41","0","8","12"
"03/08/2017","37","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","37","0","10","13"
"03/09/2017","39","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","39","0","7","10"
"03/10/2017","38","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","38","0","8","13"
"03/11/2017","40","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","40","0","9","12"
"03/12/2017","46","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","46","0","7","14"
"03/13/2017","44","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","44",".","11","14"
"03/14/2017","44","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","44",".","11","14"
"03/15/2017","60","PM10","Dirty Socks","06-027-0022","AQS","1","42","0","60","18"
"03/16/2017","40","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","40","0","16","19"
"03/17/2017","51","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","51","0","24","20"
"03/18/2017","112","PM10","Lizard Tail","06-027-0028","AQS","1","49","0","112","20"
"03/19/2017","45","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","45","0","19","14"
"03/20/2017","53","PM10","Dirty Socks","06-027-0022","AQS","1","42","0","53","20"
"03/21/2017","79","PM10","Dirty Socks","06-027-0022","AQS","1","40","0","79","13"
"03/22/2017","48","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","48","0","32","12"
"03/23/2017","47","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","47","0","42","18"
"03/24/2017","115","PM10","Lizard Tail","06-027-0028","AQS","1","49","0","115","13"
"03/25/2017","47","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","47","0","6","11"
"03/26/2017","46","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","46","0","7","10"
"03/27/2017","141","PM10","Dirty Socks","06-027-0022","AQS","1","51",".","141","57"
"03/28/2017","44","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","44","0","42","20"
"03/29/2017","43","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","43","0","10","23"
"03/30/2017","911","PM10","Lizard Tail","06-027-0028","AQS","1","61","1","911","157"
"03/31/2017","1118","PM10","Lizard Tail","06-027-0028","AQS","2","43","0","1118","240"
"04/01/2017","82","PM2.5","Keeler","06-027-1003","AQS","2","40",".","82","82"
"04/02/2017","42","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","42",".","14","21"
"04/03/2017","58","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","58",".","29","44"
"04/04/2017","51","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","2","51",".","26","25"
"04/05/2017","58","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","2","58",".","28","22"
"04/06/2017","306","PM10","Bill Stanley","06-027-0026","AQS","2","74",".","306","43"
"04/07/2017","2060","PM10","Dirty Socks","06-027-0022","AQS","2","38",".","2060","64"
"04/08/2017","55","PM2.5","Keeler","06-027-1003","AQS","2","54",".","53","55"
"04/09/2017","51","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS",".","51",".","6","13"
"04/10/2017","67","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS",".","67",".","19","29"
"04/11/2017","87","Ozone","Death Valley NP - Park Village","06-027-0101","AQS",".","87",".","56","36"
"04/12/2017","107","PM10","Dirty Socks","06-027-0022","AQS",".","74",".","107","27"
"04/13/2017","374","PM10","Shell Cut","06-027-0025","AQS",".","67",".","374","38"
"04/14/2017","80","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS",".","80",".","12","15"
"04/15/2017","58","Ozone","Death Valley NP - Park Village","06-027-0101","AQS",".","58","0","15","18"
"04/16/2017","65","PM10","Dirty Socks","06-027-0022","AQS",".","61","0","65","28"
"04/17/2017","63","PM10","Shell Cut","06-027-0025","AQS","1","43","0","63","13"
"04/18/2017","45","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","45","0","27","13"
"04/19/2017","74","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","74","0","13","18"
"04/20/2017","67","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","67","0","28","24"
"04/21/2017","50","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","50","0","19","17"
"04/22/2017","58","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","58","0","21","37"
"04/23/2017","77","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","77","0","16","31"
"04/24/2017","105","PM2.5","Keeler","06-027-1003","AQS","1","58","0","80","105"
"04/25/2017","61","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","61","0","21","21"
"04/26/2017","61","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","61","0","59","60"
"04/27/2017","74","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","74","0","42","60"
"04/28/2017","96","PM10","Olancha","06-027-0021","AQS","1","61","0","96","60"
"04/29/2017","54","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","54","0","40","23"
"04/30/2017","49","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","49","0","23","17"
"05/01/2017","58","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","58","0","18","27"
"05/02/2017","41","Ozone","Death Valley NP - Park Village","06-027-0101","AQS",".","41","0","16","21"
"05/03/2017","43","Ozone","Death Valley NP - Park Village","06-027-0101","AQS",".","43","0","21","15"
"05/04/2017","44","Ozone","Death Valley NP - Park Village","06-027-0101","AQS",".","44","0","38","32"
"05/05/2017","67","Ozone","Death Valley NP - Park Village","06-027-0101","AQS",".","67","0","39","33"
"05/06/2017","81","PM10","Dirty Socks","06-027-0022","AQS",".","49","0","81","36"
"05/07/2017","54","Ozone","Death Valley NP - Park Village","06-027-0101","AQS",".","54","0","15","25"
"05/08/2017","47","Ozone","Death Valley NP - Park Village","06-027-0101","AQS",".","47","0","31","41"
