"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25"
"07/08/2017","58","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","2","58","0","31","54"
"07/09/2017","70","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","2","54","0","47","70"
"07/10/2017","71","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","71","0","44","63"
"07/11/2017","101","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","101","0","33","61"
"07/12/2017","80","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","80","0","32","55"
"07/13/2017","71","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","71","0","33","52"
"07/14/2017","80","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","80","0","32","47"
"07/15/2017","84","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","84","0","26","55"
"07/16/2017","67","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","67","0","19","39"
"07/17/2017","67","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","67","0","31","30"
"07/18/2017","61","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","61","0","34","41"
"07/19/2017","52","PM2.5","Keeler","06-027-1003","AQS","2","51","0","31","52"
"07/20/2017","71","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","71","0","31","34"
"07/21/2017","74","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","74","0","39","52"
"07/22/2017","93","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","93","0","26","27"
"07/23/2017","58","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","58","0","28","31"
"07/24/2017","71","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","71","0","31","41"
"07/25/2017","49","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","49","0","30","34"
"07/26/2017","46","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","46","0","26","33"
"07/27/2017","50","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","50","0","20","43"
"07/28/2017","71","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","71","0","24","28"
"07/29/2017","71","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","71","0","50","30"
"07/30/2017","58","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","58","0","20","18"
"07/31/2017","50","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","50","0","48","28"
"08/01/2017","50","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","50","0","27","28"
"08/02/2017","51","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","51","0","28","33"
"08/03/2017","84","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","84","0","22","28"
"08/04/2017","64","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","64","0","40","48"
"08/05/2017","74","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","74","0","47","55"
"08/06/2017","64","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","64","0","24","62"
"08/07/2017","50","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","50","0","21","35"
"08/08/2017","51","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","51","0","21","28"
"08/09/2017","51","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","51","0","26","41"
"08/10/2017","71","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","71","0","30","52"
"08/11/2017","54","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","54","0","31","45"
"08/12/2017","70","PM2.5","Keeler","06-027-1003","AQS","2","50","0","48","70"
"08/13/2017","80","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","80","0","41","60"
"08/14/2017","54","PM2.5","Keeler","06-027-1003","AQS","2","50","0","38","54"
"08/15/2017","44","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","44","0","31","35"
"08/16/2017","51","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","51","0","29","30"
"08/17/2017","44","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","44","0","28","27"
"08/18/2017","40","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","40","0","27","25"
