"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25","NO2"
"01/01/2017","54","PM2.5","Thousand Oaks","06-111-0007","AQS","31","11","54","16"
"01/02/2017","48","PM2.5","Thousand Oaks","06-111-0007","AQS","34","16","48","19"
"01/03/2017","43","PM2.5","Thousand Oaks","06-111-0007","AQS","33","12","43","25"
"01/04/2017","39","PM2.5","Simi Valley-Cochran Street","06-111-2002","AQS","27","11","39","30"
"01/05/2017","31","Ozone","Thousand Oaks","06-111-0007","AQS","31","9","17","24"
"01/06/2017","39","Ozone","Piru - Pacific","06-111-0009","AQS","39","31","28","23"
"01/07/2017","40","PM2.5","Simi Valley-Cochran Street","06-111-2002","AQS","31","15","40","24"
"01/08/2017","31","Ozone","Thousand Oaks","06-111-0007","AQS","31","13","28","24"
"01/09/2017","31","Ozone","Thousand Oaks","06-111-0007","AQS","31","11","22","17"
"01/10/2017","34","Ozone","Thousand Oaks","06-111-0007","AQS","34","15","21","15"
"01/11/2017","38","Ozone","Thousand Oaks","06-111-0007","AQS","38","21","27","14"
"01/12/2017","34","Ozone","Thousand Oaks","06-111-0007","AQS","34","7","15","21"
"01/13/2017","34","Ozone","Thousand Oaks","06-111-0007","AQS","34","6","19","23"
"01/14/2017","36","Ozone","Thousand Oaks","06-111-0007","AQS","36","11","27","13"
"01/15/2017","45","PM2.5","Thousand Oaks","06-111-0007","AQS","34","15","45","17"
"01/16/2017","40","PM2.5","Ojai - East Ojai Ave","06-111-1004","AQS","38","19","40","19"
"01/17/2017","35","Ozone","Simi Valley-Cochran Street","06-111-2002","AQS","35","19","29","29"
"01/18/2017","41","PM2.5","Simi Valley-Cochran Street","06-111-2002","AQS","34","14","41","29"
"01/19/2017","40","Ozone","Thousand Oaks","06-111-0007","AQS","40","14","30","13"
"01/20/2017","41","Ozone","Thousand Oaks","06-111-0007","AQS","41","9","19","6"
"01/21/2017","38","Ozone","Thousand Oaks","06-111-0007","AQS","38","13","27","20"
"01/22/2017","39","Ozone","Thousand Oaks","06-111-0007","AQS","39","4","25","8"
"01/23/2017","41","Ozone","Thousand Oaks","06-111-0007","AQS","41","9","20","24"
"01/24/2017","38","Ozone","Thousand Oaks","06-111-0007","AQS","38","9","28","25"
"01/25/2017","39","Ozone","Thousand Oaks","06-111-0007","AQS","39","11","34","28"
"01/26/2017","39","Ozone","Thousand Oaks","06-111-0007","AQS","39","9","26","34"
"01/27/2017","41","Ozone","Simi Valley-Cochran Street","06-111-2002","AQS","41","8","26","13"
"01/28/2017","44","Ozone","Piru - Pacific","06-111-0009","AQS","44","9","31","11"
