"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"01/01/2017","55","PM2.5","Napa","06-055-0003","AQS","7","31","55","14"
"01/02/2017","33","PM2.5","Napa","06-055-0003","AQS","5","30","33","22"
"01/03/2017","39","PM2.5","Napa","06-055-0003","AQS","6","27","39","14"
"01/04/2017","33","PM2.5","Napa","06-055-0003","AQS","6","25","33","13"
"01/05/2017","49","PM2.5","Napa","06-055-0003","AQS","9","23","49","22"
"01/06/2017","57","PM2.5","Napa","06-055-0003","AQS","11","24","57","24"
"01/07/2017","54","PM2.5","Napa","06-055-0003","AQS","8","23","54","19"
"01/08/2017","31","Ozone","Napa","06-055-0003","AQS","8","31","13","8"
"01/09/2017","32","Ozone","Napa","06-055-0003","AQS","7","32","25","25"
"01/10/2017","36","Ozone","Napa","06-055-0003","AQS","6","36","23","14"
"01/11/2017","33","Ozone","Napa","06-055-0003","AQS","7","33","29","20"
"01/12/2017","29","PM2.5","Napa","06-055-0003","AQS","7","27","29","13"
"01/13/2017","57","PM2.5","Napa","06-055-0003","AQS","9","13","57","19"
"01/14/2017","70","PM2.5","Napa","06-055-0003","AQS","9","17","70","19"
"01/15/2017","75","PM2.5","Napa","06-055-0003","AQS","10","17","75","18"
"01/16/2017","76","PM2.5","Napa","06-055-0003","AQS","9","19","76","22"
"01/17/2017","79","PM2.5","Napa","06-055-0003","AQS","9","17","79","18"
"01/18/2017","67","PM2.5","Napa","06-055-0003","AQS","6","29","67","14"
"01/19/2017","38","PM2.5","Napa","06-055-0003","AQS","6","30","38","26"
"01/20/2017","32","Ozone","Napa","06-055-0003","AQS","5","32","26","21"
"01/21/2017","33","PM2.5","Napa","06-055-0003","AQS","3","31","33","12"
"01/22/2017","35","PM2.5","Napa","06-055-0003","AQS","5","31","35","14"
"01/23/2017","33","PM2.5","Napa","06-055-0003","AQS","6","26","33","21"
"01/24/2017","40","PM2.5","Napa","06-055-0003","AQS","7","31","40","25"
"01/25/2017","57","PM2.5","Napa","06-055-0003","AQS","8","17","57","22"
"01/26/2017","55","PM2.5","Napa","06-055-0003","AQS","9","22","55","23"
"01/27/2017","53","PM2.5","Napa","06-055-0003","AQS","10","28","53","35"
"01/28/2017","61","PM2.5","Napa","06-055-0003","AQS","8","27","61","23"
"01/29/2017","67","PM2.5","Napa","06-055-0003","AQS","11","21","67","24"
"01/30/2017","60","PM2.5","Napa","06-055-0003","AQS","13","19","60","23"
"01/31/2017","62","PM2.5","Napa","06-055-0003","AQS",".",".","62","."
"02/01/2017","50","PM2.5","Napa","06-055-0003","AQS","10","6","50","19"
"02/02/2017","37","PM2.5","Napa","06-055-0003","AQS","11","21","37","21"
"02/03/2017","30","PM2.5","Napa","06-055-0003","AQS","8","29","30","9"
"02/04/2017","33","PM2.5","Napa","06-055-0003","AQS","6","29","33","8"
"02/05/2017","31","Ozone","Napa","06-055-0003","AQS","6","31","30","8"
"02/06/2017","35","PM2.5","Napa","06-055-0003","AQS","7","30","35","8"
"02/07/2017","33","PM2.5","Napa","06-055-0003","AQS",".","26","33","9"
"02/08/2017","42","PM2.5","Napa","06-055-0003","AQS",".","15","42","13"
"02/09/2017","28","PM2.5","Napa","06-055-0003","AQS","3","28","28","10"
"02/10/2017","32","Ozone","Napa","06-055-0003","AQS","6","32","27","25"
"02/11/2017","34","PM2.5","Napa","06-055-0003","AQS","6","33","34","21"
"02/12/2017","33","PM2.5","Napa","06-055-0003","AQS","5","33","33","13"
"02/13/2017","52","PM2.5","Napa","06-055-0003","AQS","6","19","52","20"
"02/14/2017","53","PM2.5","Napa","06-055-0003","AQS","6","25","53","23"
"02/15/2017","59","PM2.5","Napa","06-055-0003","AQS","6","31","59","15"
"02/16/2017","38","Ozone","Napa","06-055-0003","AQS","5","38","37","19"
"02/17/2017","30","Ozone","Napa","06-055-0003","AQS","5","30","27","8"
"02/18/2017","32","Ozone","Napa","06-055-0003","AQS","5","32","24","8"
"02/19/2017","29","PM2.5","Napa","06-055-0003","AQS","5","28","29","6"
"02/20/2017","38","Ozone","Napa","06-055-0003","AQS","5","38","23","8"
